param,paper_symbol,output,timepoint,prcc,pvalue,significant,n_samples,n_params
e_help_from_H,p_e,E,35,0.00047824520378525015,0.9881682368949187,False,998,35
e_help_from_H_K,g_e,E,35,-0.014037350613469102,0.6633501030396192,False,998,35
e_inact_by_C,c_e,E,35,-0.9108988004129677,0.0,True,998,35
e_suppr_by_R,delta_e,E,35,-0.10022852826640308,0.0018348303619013702,True,998,35
e_base_death,b_e,E,35,-0.8686042905090763,1.284287354325989e-295,True,998,35
n_base_birth,a_n,E,35,0.043577153011453595,0.17641197046493676,False,998,35
n_help_from_H,p_n,E,35,0.0015249133048351082,0.9622863705103705,False,998,35
n_help_from_H_K,g_n,E,35,0.019784826892687478,0.5395132195712735,False,998,35
n_inact_by_C,c_n,E,35,0.014210794018222249,0.6594508437067266,False,998,35
n_suppr_by_R,delta_n,E,35,-0.011174708442614655,0.7289542772963641,False,998,35
n_base_death,b_n,E,35,-0.03605446742804935,0.26342057137920527,False,998,35
h_base_birth,a_h,E,35,-0.00935608623039524,0.7717240646869845,False,998,35
h_self_act,p_h,E,35,-0.03130524039480097,0.33157172205151064,False,998,35
h_self_act_K,g_h,E,35,0.023524613446343365,0.46566302211785904,False,998,35
h_suppr_by_R,delta_h,E,35,-0.007588489634807117,0.8139698632531562,False,998,35
h_base_death,b_h,E,35,0.010933265176505232,0.734587479742975,False,998,35
r_base_src,a,E,35,-0.0733709650586857,0.022716879952511402,False,998,35
r_induced_by_E,a_r,E,35,0.010374096969823172,0.7476880580008518,False,998,35
r_induced_by_H,b_r,E,35,0.03545480618860549,0.27144946840475387,False,998,35
r_prolif_by_H,p_r,E,35,0.03448510240677237,0.2847838765227403,False,998,35
r_prolif_by_H_K,g_r,E,35,0.009167425747486026,0.7762033889413914,False,998,35
r_cleared_by_N,r,E,35,-0.016696071130322284,0.6046334362772674,False,998,35
r_decay,delta_r,E,35,0.0007694213021609685,0.9809656607424713,False,998,35
c_base_div,k_c,E,70,-0.7799422852963107,5.287364420670626e-198,True,998,35
c_boost_from_P,mu_c,E,70,4.649353541536332e-05,0.9988497104972305,False,998,35
c_kill_by_E,d_c,E,70,0.027618475563252327,0.39168871197613864,False,998,35
c_kill_by_N,b_c,E,70,9.038894287338674e-05,0.9977637030337915,False,998,35
c_R_blocks_E,r_1,E,70,0.03861744623613739,0.23095628195593132,False,998,35
K_C,1/a_c,E,70,-0.6820028005332596,7.314618790889205e-133,True,998,35
p_base_div,k_p,E,70,0.004647281430742704,0.8854183576531189,False,998,35
p_boost_from_C,f_p,E,70,-0.06496094328882095,0.043753640864891544,False,998,35
p_boost_from_C_K,mu_p,E,70,-0.011205097450533589,0.7282462869363537,False,998,35
p_base_death,lambda_p,E,70,-0.02481080557086443,0.441624120166462,False,998,35
K_P,1/a_p,E,70,0.0006849509817576968,0.9830549978539911,False,998,35
e_base_birth,a_e,E,70,0.5303140456248736,5.051923356061603e-71,True,998,35
e_help_from_H,p_e,E,70,0.012829443835990812,0.6907535791629787,False,998,35
e_help_from_H_K,g_e,E,70,0.008156632090016923,0.8003257143653703,False,998,35
e_inact_by_C,c_e,E,70,-0.8201080827951868,1.8344086782019406e-235,True,998,35
e_suppr_by_R,delta_e,E,70,-0.037074524769230614,0.2501419503850393,False,998,35
e_base_death,b_e,E,70,-0.49801429314677115,1.4701375275364625e-61,True,998,35
n_base_birth,a_n,E,70,0.0024570167973733156,0.939269964779734,False,998,35
n_help_from_H,p_n,E,70,-0.04770697833210786,0.1388348399961838,False,998,35
n_help_from_H_K,g_n,E,70,-0.034246140338098786,0.2881366664094405,False,998,35
n_inact_by_C,c_n,E,70,-0.01533739669697498,0.6343515537135335,False,998,35
n_suppr_by_R,delta_n,E,70,0.039533236806503946,0.22007503947617849,False,998,35
n_base_death,b_n,E,70,-0.018092455971491884,0.5747580102106811,False,998,35
h_base_birth,a_h,E,70,-0.04328897079338837,0.17929244323669777,False,998,35
h_self_act,p_h,E,70,0.015366120974758993,0.6337169120052573,False,998,35
h_self_act_K,g_h,E,70,0.0061273938531656545,0.8493088061956519,False,998,35
h_suppr_by_R,delta_h,E,70,0.019344971664222884,0.5485686928056929,False,998,35
h_base_death,b_h,E,70,0.009009578022614404,0.779956858203274,False,998,35
r_base_src,a,E,70,-0.055545114313199744,0.08476610467653527,False,998,35
r_induced_by_E,a_r,E,70,0.0004902528141044951,0.9878711917664014,False,998,35
r_induced_by_H,b_r,E,70,0.0066968888573700255,0.8354945323576037,False,998,35
r_prolif_by_H,p_r,E,70,0.04702482429009602,0.14457722245387603,False,998,35
r_prolif_by_H_K,g_r,E,70,-0.02194992807780792,0.49605702096170035,False,998,35
r_cleared_by_N,r,E,70,-0.04478456848796367,0.16471724102157884,False,998,35
r_decay,delta_r,E,70,-0.0019587917984806038,0.951567547129818,False,998,35
c_base_div,k_c,E,100,-0.24410561105133147,1.5203982021321248e-14,True,998,35
c_boost_from_P,mu_c,E,100,0.008559806117042967,0.7906798519248419,False,998,35
c_kill_by_E,d_c,E,100,0.038465146217772396,0.232802272992129,False,998,35
c_kill_by_N,b_c,E,100,0.005879701902305144,0.8553317939200896,False,998,35
c_R_blocks_E,r_1,E,100,-0.028719392398883783,0.3730812650121521,False,998,35
K_C,1/a_c,E,100,-0.6808741901146188,2.91592757789133e-132,True,998,35
p_base_div,k_p,E,100,-0.05152820966820515,0.10985342058003734,False,998,35
p_boost_from_C,f_p,E,100,-0.02359904516257055,0.46425239825976405,False,998,35
p_boost_from_C_K,mu_p,E,100,0.004768883257104826,0.8824416665616959,False,998,35
p_base_death,lambda_p,E,100,-0.05205406954738225,0.10626931660721853,False,998,35
K_P,1/a_p,E,100,0.00020847944598987298,0.9948420757557144,False,998,35
e_base_birth,a_e,E,100,0.7423705693507318,1.6469066125378974e-169,True,998,35
e_help_from_H,p_e,E,100,-0.01764395150984958,0.5842774727731979,False,998,35
e_help_from_H_K,g_e,E,100,-0.041368616815354475,0.19938343576375014,False,998,35
e_inact_by_C,c_e,E,100,-0.6930683417191195,6.736862062474005e-139,True,998,35
e_suppr_by_R,delta_e,E,100,-0.0010936713013566094,0.9729468124806084,False,998,35
e_base_death,b_e,E,100,-0.27123550347944436,1.019888831601345e-17,True,998,35
n_base_birth,a_n,E,100,-0.011129162166250175,0.7300158274912635,False,998,35
n_help_from_H,p_n,E,100,-0.024681830198434895,0.4440021904647412,False,998,35
n_help_from_H_K,g_n,E,100,-0.03479834804577259,0.28042889878674915,False,998,35
n_inact_by_C,c_n,E,100,0.04356880306259115,0.17649494344976954,False,998,35
n_suppr_by_R,delta_n,E,100,-0.016717509141288688,0.6041695558768609,False,998,35
n_base_death,b_n,E,100,-0.014643084730978384,0.6497726325684868,False,998,35
h_base_birth,a_h,E,100,-0.03687941096854186,0.25264505781724705,False,998,35
h_self_act,p_h,E,100,0.028908526269388248,0.36994048012066827,False,998,35
h_self_act_K,g_h,E,100,0.042714243163762794,0.185141025181787,False,998,35
h_suppr_by_R,delta_h,E,100,0.013529568779646657,0.6748179053106779,False,998,35
h_base_death,b_h,E,100,-0.0027239103284066877,0.9326880437357926,False,998,35
r_base_src,a,E,100,-0.05834912696731044,0.07016616065535454,False,998,35
r_induced_by_E,a_r,E,100,-0.008558437073952613,0.7907125528255108,False,998,35
r_induced_by_H,b_r,E,100,-0.013204066834869061,0.6822091452453765,False,998,35
r_prolif_by_H,p_r,E,100,0.029074648804068442,0.3671953987872225,False,998,35
r_prolif_by_H_K,g_r,E,100,-0.0028870192481535144,0.9286678104158688,False,998,35
r_cleared_by_N,r,E,100,0.02011279592959528,0.5328101819174741,False,998,35
r_decay,delta_r,E,100,-0.0013152405308773428,0.9674688265443127,False,998,35
c_base_div,k_c,N,35,-0.42408790024142684,2.308265810334235e-43,True,998,35
c_boost_from_P,mu_c,N,35,0.07672948641048961,0.017184030301544976,False,998,35
c_kill_by_E,d_c,N,35,-0.0017429726017720282,0.9568983160815678,False,998,35
c_kill_by_N,b_c,N,35,-0.012403248006773197,0.7005222925167521,False,998,35
c_R_blocks_E,r_1,N,35,-0.07681928409924203,0.01705392051992368,False,998,35
K_C,1/a_c,N,35,-0.0980248467952898,0.002312134999675784,True,998,35
p_base_div,k_p,N,35,0.02858472382793827,0.375327609112593,False,998,35
p_boost_from_C,f_p,N,35,0.0014545589932088584,0.9640251428617415,False,998,35
p_boost_from_C_K,mu_p,N,35,-0.016033257048818358,0.6190534905621089,False,998,35
p_base_death,lambda_p,N,35,0.02975745184973046,0.35604608158323237,False,998,35
K_P,1/a_p,N,35,-0.035251957670291746,0.274202910299536,False,998,35
e_base_birth,a_e,N,35,-0.0015911907993242103,0.960648518359893,False,998,35
e_help_from_H,p_e,N,35,-0.04241031942579042,0.18829022615048624,False,998,35
e_help_from_H_K,g_e,N,35,0.022704689362566456,0.48135850566837246,False,998,35
e_inact_by_C,c_e,N,35,-0.0416846511822276,0.1959687060663945,False,998,35
e_suppr_by_R,delta_e,N,35,0.014786140370072223,0.6465827218102881,False,998,35
e_base_death,b_e,N,35,-0.02048472145013672,0.5252600032923067,False,998,35
n_base_birth,a_n,N,35,0.33728206890432144,4.47912352581194e-27,True,998,35
n_help_from_H,p_n,N,35,0.10289091024995584,0.0013793313159031432,True,998,35
n_help_from_H_K,g_n,N,35,-0.030087517422506427,0.35073376245968413,False,998,35
n_inact_by_C,c_n,N,35,-0.3773430250675602,5.5435525198169115e-34,True,998,35
