param,paper_symbol,output,timepoint,baseline_value,out_x0.5,elasticity_x0.5,out_x2,elasticity_x2,elasticity
c_kill_by_E,d_c,H,70,2121.0,2085.0,0.033946251768033946,2008.0,-0.053276756247053275,-0.009665252239509665
c_kill_by_E,d_c,H,100,466.0,497.0,-0.13304721030042918,471.0,0.01072961373390558,-0.0611587982832618
c_kill_by_E,d_c,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
c_kill_by_E,d_c,R,35,2457.0,2462.0,-0.00407000407000407,2464.0,0.002849002849002849,-0.0006105006105006103
c_kill_by_E,d_c,R,70,4481.0,4483.0,-0.0008926578888640928,4488.0,0.0015621513055121626,0.00033474670832403487
c_kill_by_E,d_c,R,100,6176.0,6175.0,0.0003238341968911917,6186.0,0.0016191709844559584,0.0009715025906735751
c_kill_by_N,b_c,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
c_kill_by_N,b_c,C,35,32256.0,32413.0,-0.009734623015873016,31746.0,-0.015811011904761904,-0.01277281746031746
c_kill_by_N,b_c,C,70,81315.0,81545.0,-0.0056570128512574555,81325.0,0.0001229785402447273,-0.002767017155506364
c_kill_by_N,b_c,C,100,87320.0,87326.0,-0.00013742556115437472,87277.0,-0.0004924415941365093,-0.00031493357764544205
c_kill_by_N,b_c,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
c_kill_by_N,b_c,P,35,295.0,407.0,-0.7593220338983051,548.0,0.8576271186440678,0.04915254237288136
c_kill_by_N,b_c,P,70,17844.0,20699.0,-0.3199955167002914,25210.0,0.41279982066801163,0.04640215198386011
c_kill_by_N,b_c,P,100,43329.0,43474.0,-0.006692976990006693,43558.0,0.005285143899005285,-0.0007039165455007038
c_kill_by_N,b_c,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
c_kill_by_N,b_c,E,35,708.0,694.0,0.03954802259887006,713.0,0.007062146892655367,0.023305084745762712
c_kill_by_N,b_c,E,70,9.0,9.0,-0.0,13.0,0.4444444444444444,0.2222222222222222
c_kill_by_N,b_c,E,100,9.0,8.0,0.2222222222222222,7.0,-0.2222222222222222,0.0
c_kill_by_N,b_c,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
c_kill_by_N,b_c,N,35,767.0,750.0,0.04432855280312908,713.0,-0.07040417209908735,-0.013037809647979137
c_kill_by_N,b_c,N,70,146.0,151.0,-0.0684931506849315,158.0,0.0821917808219178,0.00684931506849315
c_kill_by_N,b_c,N,100,56.0,52.0,0.14285714285714285,48.0,-0.14285714285714285,0.0
c_kill_by_N,b_c,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
c_kill_by_N,b_c,H,35,6706.0,6638.0,0.020280345958842826,6734.0,0.0041753653444676405,0.012227855651655233
c_kill_by_N,b_c,H,70,2121.0,2067.0,0.05091937765205092,2043.0,-0.036775106082036775,0.0070721357850070735
c_kill_by_N,b_c,H,100,466.0,454.0,0.05150214592274678,460.0,-0.012875536480686695,0.019313304721030045
c_kill_by_N,b_c,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
c_kill_by_N,b_c,R,35,2457.0,2466.0,-0.007326007326007326,2465.0,0.003256003256003256,-0.0020350020350020353
c_kill_by_N,b_c,R,70,4481.0,4489.0,-0.0035706315554563713,4490.0,0.002008480249944209,-0.0007810756527560812
c_kill_by_N,b_c,R,100,6176.0,6182.0,-0.0019430051813471502,6183.0,0.0011334196891191709,-0.00040479274611398967
e_base_birth,a_e,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
e_base_birth,a_e,C,35,32256.0,32685.0,-0.02659970238095238,32138.0,-0.003658234126984127,-0.015128968253968254
e_base_birth,a_e,C,70,81315.0,81727.0,-0.01013343171616553,81350.0,0.00043042489085654554,-0.004851503412654492
e_base_birth,a_e,C,100,87320.0,87317.0,6.871278057718736e-05,87309.0,-0.00012597343105817682,-2.863032524049473e-05
e_base_birth,a_e,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
e_base_birth,a_e,P,35,295.0,565.0,-1.8305084745762712,453.0,0.535593220338983,-0.6474576271186441
e_base_birth,a_e,P,70,17844.0,25057.0,-0.8084510199506837,22133.0,0.24036090562654114,-0.2840450571620713
e_base_birth,a_e,P,100,43329.0,43598.0,-0.012416626278012417,43493.0,0.003784993884003785,-0.004315816197004316
e_base_birth,a_e,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
e_base_birth,a_e,E,35,708.0,718.0,-0.02824858757062147,706.0,-0.002824858757062147,-0.015536723163841807
e_base_birth,a_e,E,70,9.0,6.0,0.6666666666666666,22.0,1.4444444444444444,1.0555555555555556
e_base_birth,a_e,E,100,9.0,4.0,1.1111111111111112,12.0,0.3333333333333333,0.7222222222222222
e_base_birth,a_e,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
e_base_birth,a_e,N,35,767.0,737.0,0.07822685788787484,716.0,-0.06649282920469361,0.005867014341590614
e_base_birth,a_e,N,70,146.0,156.0,-0.136986301369863,146.0,0.0,-0.0684931506849315
e_base_birth,a_e,N,100,56.0,44.0,0.42857142857142855,50.0,-0.10714285714285714,0.1607142857142857
e_base_birth,a_e,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
e_base_birth,a_e,H,35,6706.0,6731.0,-0.007456009543692216,6645.0,-0.009096331643304503,-0.00827617059349836
e_base_birth,a_e,H,70,2121.0,2108.0,0.012258368694012258,2028.0,-0.04384724186704385,-0.015794436586515796
e_base_birth,a_e,H,100,466.0,462.0,0.017167381974248927,476.0,0.02145922746781116,0.019313304721030045
e_base_birth,a_e,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
e_base_birth,a_e,R,35,2457.0,2463.0,-0.004884004884004884,2464.0,0.002849002849002849,-0.0010175010175010174
e_base_birth,a_e,R,70,4481.0,4488.0,-0.003124302611024325,4484.0,0.0006694934166480696,-0.0012274045971881278
e_base_birth,a_e,R,100,6176.0,6184.0,-0.0025906735751295338,6175.0,-0.00016191709844559586,-0.0013762953367875649
e_base_death,b_e,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
e_base_death,b_e,C,35,32256.0,31880.0,0.023313492063492064,32344.0,0.002728174603174603,0.013020833333333334
e_base_death,b_e,C,70,81315.0,81394.0,-0.0019430609358666914,81592.0,0.003406505564778946,0.0007317223144561273
e_base_death,b_e,C,100,87320.0,87297.0,0.000526797984425103,87301.0,-0.00021759047182775998,0.00015460375629867154
e_base_death,b_e,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
e_base_death,b_e,P,35,295.0,440.0,-0.9830508474576272,491.0,0.6644067796610169,-0.15932203389830513
e_base_death,b_e,P,70,17844.0,22114.0,-0.4785922438915041,24011.0,0.34560636628558616,-0.06649293880295898
e_base_death,b_e,P,100,43329.0,43499.0,-0.007846938540007847,43554.0,0.005192826975005193,-0.001327055782501327
e_base_death,b_e,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
e_base_death,b_e,E,35,708.0,1063.0,-1.002824858757062,344.0,-0.5141242937853108,-0.7584745762711864
e_base_death,b_e,E,70,9.0,16.0,-1.5555555555555556,11.0,0.2222222222222222,-0.6666666666666667
e_base_death,b_e,E,100,9.0,3.0,1.3333333333333333,6.0,-0.3333333333333333,0.5
e_base_death,b_e,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
e_base_death,b_e,N,35,767.0,713.0,0.1408083441981747,706.0,-0.07953063885267275,0.030638852672750974
e_base_death,b_e,N,70,146.0,170.0,-0.3287671232876712,160.0,0.0958904109589041,-0.11643835616438356
e_base_death,b_e,N,100,56.0,52.0,0.14285714285714285,50.0,-0.10714285714285714,0.017857142857142856
e_base_death,b_e,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
e_base_death,b_e,H,35,6706.0,6659.0,0.014017297942141366,6647.0,-0.008798091261556815,0.0026096033402922755
e_base_death,b_e,H,70,2121.0,2070.0,0.04809052333804809,2022.0,-0.04667609618104668,0.0007072135785007073
e_base_death,b_e,H,100,466.0,504.0,-0.1630901287553648,470.0,0.008583690987124463,-0.07725321888412016
e_base_death,b_e,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
e_base_death,b_e,R,35,2457.0,2459.0,-0.001628001628001628,2463.0,0.002442002442002442,0.00040700040700040704
e_base_death,b_e,R,70,4481.0,4484.0,-0.0013389868332961392,4484.0,0.0006694934166480696,-0.0003347467083240348
e_base_death,b_e,R,100,6176.0,6178.0,-0.0006476683937823834,6176.0,0.0,-0.0003238341968911917
e_help_from_H,p_e,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
e_help_from_H,p_e,C,35,32256.0,32280.0,-0.001488095238095238,32585.0,0.010199652777777778,0.00435577876984127
e_help_from_H,p_e,C,70,81315.0,81505.0,-0.0046731845292996375,81657.0,0.0042058660763696736,-0.00023365922646498196
e_help_from_H,p_e,C,100,87320.0,87290.0,0.0006871278057718735,87294.0,-0.0002977553825011452,0.00019468621163536417
e_help_from_H,p_e,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
e_help_from_H,p_e,P,35,295.0,371.0,-0.5152542372881356,458.0,0.5525423728813559,0.018644067796610153
e_help_from_H,p_e,P,70,17844.0,20032.0,-0.24523649405962789,22899.0,0.2832885003362475,0.019026003138309794
e_help_from_H,p_e,P,100,43329.0,43384.0,-0.002538715410002539,43523.0,0.004477370814004477,0.0009693277020009692
e_help_from_H,p_e,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
e_help_from_H,p_e,E,35,708.0,688.0,0.05649717514124294,694.0,-0.01977401129943503,0.018361581920903952
e_help_from_H,p_e,E,70,9.0,7.0,0.4444444444444444,7.0,-0.2222222222222222,0.1111111111111111
e_help_from_H,p_e,E,100,9.0,7.0,0.4444444444444444,5.0,-0.4444444444444444,0.0
e_help_from_H,p_e,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
e_help_from_H,p_e,N,35,767.0,710.0,0.14863102998696218,704.0,-0.08213820078226858,0.0332464146023468
e_help_from_H,p_e,N,70,146.0,157.0,-0.1506849315068493,156.0,0.0684931506849315,-0.0410958904109589
e_help_from_H,p_e,N,100,56.0,47.0,0.32142857142857145,51.0,-0.08928571428571429,0.11607142857142858
e_help_from_H,p_e,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
e_help_from_H,p_e,H,35,6706.0,6701.0,0.0014912019087384432,6733.0,0.004026245153593797,0.00275872353116612
e_help_from_H,p_e,H,70,2121.0,2088.0,0.031117397454031116,2124.0,0.0014144271570014145,0.016265912305516265
e_help_from_H,p_e,H,100,466.0,484.0,-0.07725321888412018,475.0,0.019313304721030045,-0.028969957081545067
e_help_from_H,p_e,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
e_help_from_H,p_e,R,35,2457.0,2460.0,-0.002442002442002442,2459.0,0.000814000814000814,-0.0008140008140008141
e_help_from_H,p_e,R,70,4481.0,4478.0,0.0013389868332961392,4485.0,0.0008926578888640928,0.0011158223610801161
e_help_from_H,p_e,R,100,6176.0,6166.0,0.003238341968911917,6179.0,0.00048575129533678756,0.0018620466321243522
e_help_from_H_K,g_e,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
e_help_from_H_K,g_e,C,35,32256.0,32011.0,0.015190972222222222,32167.0,-0.0027591765873015875,0.006215897817460317
e_help_from_H_K,g_e,C,70,81315.0,81423.0,-0.0026563364692861096,81439.0,0.0015249338990346185,-0.0005657012851257455
e_help_from_H_K,g_e,C,100,87320.0,87296.0,0.0005497022446174989,87301.0,-0.00021759047182775998,0.00016605588639486947
e_help_from_H_K,g_e,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
e_help_from_H_K,g_e,P,35,295.0,515.0,-1.4915254237288136,507.0,0.7186440677966102,-0.3864406779661017
