step,days,C,P,E,N,H,R,total
483,0.335417,614,237,119,79,177,40,1266
484,0.336111,614,237,119,79,177,40,1266
485,0.336806,614,237,119,79,177,40,1266
486,0.3375,614,236,119,79,177,40,1265
487,0.338194,614,236,119,79,177,40,1265
488,0.338889,614,236,119,79,177,40,1265
489,0.339583,614,236,119,79,177,40,1265
490,0.340278,614,236,119,79,177,40,1265
491,0.340972,614,236,119,79,177,40,1265
492,0.341667,614,236,119,79,177,40,1265
493,0.342361,614,236,119,79,177,40,1265
494,0.343056,614,236,119,79,177,40,1265
495,0.34375,614,236,119,79,177,40,1265
496,0.344444,614,236,119,79,177,40,1265
497,0.345139,614,236,119,79,177,40,1265
498,0.345833,614,236,119,79,177,40,1265
499,0.346528,614,236,119,79,177,40,1265
500,0.347222,614,236,119,79,177,40,1265
501,0.347917,614,236,119,79,177,40,1265
502,0.348611,614,235,119,79,177,40,1264
503,0.349306,614,235,119,79,177,40,1264
504,0.35,614,235,119,79,177,40,1264
505,0.350694,614,235,119,79,177,40,1264
506,0.351389,614,235,119,79,177,40,1264
507,0.352083,614,235,119,79,177,40,1264
508,0.352778,614,235,119,79,177,40,1264
509,0.353472,614,235,119,79,177,40,1264
510,0.354167,614,235,119,79,177,40,1264
511,0.354861,614,235,119,79,177,40,1264
512,0.355556,614,235,119,79,177,40,1264
513,0.35625,614,235,119,79,177,40,1264
514,0.356944,614,235,119,79,177,40,1264
515,0.357639,614,235,119,79,177,40,1264
516,0.358333,614,235,119,79,177,40,1264
517,0.359028,614,235,119,79,177,40,1264
518,0.359722,614,235,119,79,177,40,1264
519,0.360417,614,235,119,79,177,40,1264
520,0.361111,614,235,119,79,177,40,1264
521,0.361806,614,235,119,79,177,40,1264
522,0.3625,614,235,119,79,177,40,1264
523,0.363194,614,235,119,79,177,40,1264
524,0.363889,614,235,119,79,177,40,1264
525,0.364583,614,235,119,79,177,40,1264
526,0.365278,614,235,119,79,177,40,1264
527,0.365972,614,235,119,79,177,40,1264
528,0.366667,614,235,119,79,177,40,1264
529,0.367361,614,235,119,79,177,40,1264
530,0.368056,614,235,119,79,177,40,1264
